"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Species","art_predictions","sex_predictions"
"1606","Torgersen",40.95,18.85,185.5,3750,"MALE","Adelie","Adelie","MALE"
"1607","Torgersen",39.6,18.45,202,4412.5,"MALE","Adelie","Adelie","MALE"
"1608","Dream",40.6,18.6,192.5,3687.5,"MALE","Adelie","Adelie","MALE"
"1609","Torgersen",39.4,20.5,194,4075,"MALE","Adelie","Adelie","MALE"
"1610","Torgersen",41.7,18.95,198.5,4250,"MALE","Adelie","Adelie","MALE"
"1611","Biscoe",41.5,18.05,203,4075,"MALE","Adelie","Adelie","MALE"
"1612","Torgersen",44.85,19,186.5,4687.5,"MALE","Adelie","Adelie","MALE"
"1613","Biscoe",37.5,18.85,191.5,4450,"MALE","Adelie","Adelie","MALE"
"1614","Dream",41.2,19.7,191.5,4237.5,"MALE","Adelie","Adelie","MALE"
"1615","Dream",39.45,18.35,191,3712.5,"MALE","Adelie","Adelie","FEMALE"
"1616","Dream",41.1,19.25,184,4087.5,"MALE","Adelie","Adelie","MALE"
"1617","Dream",39.4,18.5,187,4100,"MALE","Adelie","Adelie","MALE"
"1618","Dream",42.6,19.7,192,3850,"MALE","Adelie","Adelie","MALE"
"1619","Biscoe",40.7,19.4,198,4312.5,"MALE","Adelie","Adelie","MALE"
"1620","Dream",37.5,18.7,190,3775,"MALE","Adelie","Adelie","MALE"
"1621","Torgersen",41.9,19.05,186.5,3775,"MALE","Adelie","Adelie","MALE"
"1622","Dream",37.85,19.45,190.5,4512.5,"MALE","Adelie","Adelie","MALE"
"1623","Dream",41.1,18.05,195.5,4525,"MALE","Adelie","Adelie","MALE"
"1624","Torgersen",42.7,19,191,4175,"MALE","Adelie","Adelie","MALE"
"1625","Torgersen",41.2,19.45,201.5,3837.5,"MALE","Adelie","Adelie","MALE"
"1626","Dream",40.3,19.95,186.5,4012.5,"MALE","Adelie","Adelie","MALE"
"1627","Torgersen",39.3,19.25,188.5,3937.5,"MALE","Adelie","Adelie","MALE"
"1628","Biscoe",43.35,20.8,188.5,3775,"MALE","Adelie","Adelie","MALE"
"1629","Biscoe",41.1,17.95,202.5,3850,"MALE","Adelie","Adelie","MALE"
"1630","Torgersen",43.1,19.5,195.5,3975,"MALE","Adelie","Adelie","MALE"
"1631","Biscoe",38.7,18.9,196,4125,"MALE","Adelie","Adelie","MALE"
"1632","Biscoe",38.95,18.3,199,4312.5,"MALE","Adelie","Adelie","MALE"
"1633","Dream",39.7,18.9,195,3775,"MALE","Adelie","Adelie","MALE"
"1634","Dream",41.15,20.9,196,3925,"MALE","Adelie","Adelie","MALE"
"1635","Biscoe",38.75,18.7,188.5,3637.5,"MALE","Adelie","Adelie","MALE"
"1636","Dream",39.85,18.45,188.5,3862.5,"MALE","Adelie","Adelie","MALE"
"1637","Torgersen",41.3,18.9,197.5,4275,"MALE","Adelie","Adelie","MALE"
"1638","Biscoe",37.95,18.2,193,4100,"MALE","Adelie","Adelie","MALE"
"1639","Torgersen",40.85,18.25,194.5,4512.5,"MALE","Adelie","Adelie","MALE"
"1640","Dream",42.2,19.7,195,4050,"MALE","Adelie","Adelie","MALE"
"1641","Torgersen",44.45,19.7,185.5,3750,"MALE","Adelie","Adelie","MALE"
"1642","Torgersen",38.6,19.75,205.5,4100,"MALE","Adelie","Adelie","MALE"
"1643","Dream",39.65,18.5,190.5,3737.5,"MALE","Adelie","Adelie","MALE"
"1644","Biscoe",38.9,18.8,198.5,4175,"MALE","Adelie","Adelie","MALE"
"1645","Dream",38.05,19.75,195.5,4250,"MALE","Adelie","Adelie","MALE"
"1646","Torgersen",39.85,18.8,191.5,4375,"MALE","Adelie","Adelie","MALE"
"1647","Dream",40.5,20.65,194.5,3775,"MALE","Adelie","Adelie","MALE"
"1648","Torgersen",40.55,19.15,191.5,4175,"MALE","Adelie","Adelie","MALE"
"1649","Torgersen",41.55,19.3,196.5,4200,"MALE","Adelie","Adelie","MALE"
"1650","Dream",41.8,17.75,191,3762.5,"MALE","Adelie","Adelie","FEMALE"
"1651","Torgersen",38.55,20.05,196,3975,"MALE","Adelie","Adelie","MALE"
"1652","Torgersen",38.9,19.45,187.5,4075,"MALE","Adelie","Adelie","MALE"
"1653","Dream",39.65,20.1,194,3750,"MALE","Adelie","Adelie","MALE"
"1654","Biscoe",42.35,20,192.5,3750,"MALE","Adelie","Adelie","MALE"
"1655","Torgersen",40.45,17.9,186.5,4000,"MALE","Adelie","Adelie","FEMALE"
"1656","Torgersen",38.25,18.9,200,4000,"MALE","Adelie","Adelie","MALE"
"1657","Biscoe",41.05,18.8,188,3850,"MALE","Adelie","Adelie","MALE"
"1658","Dream",39.2,18,185,3737.5,"MALE","Adelie","Adelie","FEMALE"
"1659","Biscoe",40.6,19,189,3712.5,"MALE","Adelie","Adelie","MALE"
"1660","Dream",41.1,20.05,186.5,4050,"MALE","Adelie","Adelie","MALE"
"1661","Torgersen",41.05,19.3,188,4150,"MALE","Adelie","Adelie","MALE"
"1662","Torgersen",41.85,21.3,191.5,4437.5,"MALE","Adelie","Adelie","MALE"
"1663","Torgersen",39.45,18.5,190.5,4275,"MALE","Adelie","Adelie","MALE"
"1664","Torgersen",38.95,19.6,187.5,4000,"MALE","Adelie","Adelie","MALE"
"1665","Dream",42,18.85,186.5,4012.5,"MALE","Adelie","Adelie","MALE"
"1666","Dream",39.8,18.7,191,4050,"MALE","Adelie","Adelie","MALE"
"1667","Dream",39.85,18.5,189,4362.5,"MALE","Adelie","Adelie","MALE"
"1668","Dream",39.2,18.1,195.5,4025,"MALE","Adelie","Adelie","MALE"
"1669","Dream",37.7,18.9,199,4200,"MALE","Adelie","Adelie","MALE"
"1670","Torgersen",40.6,19.75,186,3900,"MALE","Adelie","Adelie","MALE"
"1671","Torgersen",41.35,18.8,188.5,4150,"MALE","Adelie","Adelie","MALE"
"1672","Dream",43.05,19.05,193,4425,"MALE","Adelie","Adelie","MALE"
"1673","Biscoe",43.3,20.1,194,4200,"MALE","Adelie","Adelie","MALE"
"1674","Dream",39.9,18.9,198,3562.5,"MALE","Adelie","Adelie","MALE"
"1675","Dream",39.25,18.3,189,4212.5,"MALE","Adelie","Adelie","MALE"
"1676","Dream",42.75,18.45,194.5,3750,"MALE","Adelie","Adelie","MALE"
"1677","Biscoe",44.5,19.3,193.5,4025,"MALE","Adelie","Adelie","MALE"
"1678","Torgersen",42.4,19.8,188,4025,"MALE","Adelie","Adelie","MALE"
"1679","Biscoe",40.4,19.85,195.5,3937.5,"MALE","Adelie","Adelie","MALE"
"1680","Dream",39.75,18.6,201,3912.5,"MALE","Adelie","Adelie","MALE"
"1681","Torgersen",39.4,20.55,181,4375,"MALE","Adelie","Adelie","MALE"
"1682","Dream",40.95,20.55,179.5,3987.5,"MALE","Adelie","Adelie","MALE"
"1683","Torgersen",40.85,19.3,187,4387.5,"MALE","Adelie","Adelie","MALE"
"1684","Biscoe",39.85,19.6,190.5,3700,"MALE","Adelie","Adelie","MALE"
"1685","Biscoe",40.2,20.05,191.5,4187.5,"MALE","Adelie","Adelie","MALE"
"1686","Biscoe",43,18.5,191,3812.5,"MALE","Adelie","Adelie","MALE"
"1687","Torgersen",41.25,18.9,190.5,3925,"MALE","Adelie","Adelie","MALE"
"1688","Dream",41.1,18.5,194.5,3950,"MALE","Adelie","Adelie","MALE"
"1689","Biscoe",40.8,19.2,190.5,4000,"MALE","Adelie","Adelie","MALE"
"1690","Dream",40.7,20.05,193,3887.5,"MALE","Adelie","Adelie","MALE"
"1691","Torgersen",42,18.25,194,4262.5,"MALE","Adelie","Adelie","MALE"
"1692","Torgersen",39.6,19.35,200,3800,"MALE","Adelie","Adelie","MALE"
"1693","Biscoe",41.8,18.45,187,3825,"MALE","Adelie","Adelie","MALE"
"1694","Dream",39.9,20.1,195,4212.5,"MALE","Adelie","Adelie","MALE"
"1695","Dream",40.1,19.15,195.5,3700,"MALE","Adelie","Adelie","MALE"
"1696","Dream",40.7,19.7,192.5,3775,"MALE","Adelie","Adelie","MALE"
"1697","Biscoe",41.3,18.35,190.5,4050,"MALE","Adelie","Adelie","MALE"
"1698","Dream",41.05,18.7,194,3925,"MALE","Adelie","Adelie","MALE"
"1699","Dream",38.7,18.2,194.5,4175,"MALE","Adelie","Adelie","MALE"
"1700","Torgersen",42.45,19.6,194,3650,"MALE","Adelie","Adelie","MALE"
"1701","Torgersen",40.05,18.25,191,4300,"MALE","Adelie","Adelie","MALE"
"1702","Torgersen",41.25,19.4,193.5,4300,"MALE","Adelie","Adelie","MALE"
"1703","Dream",42.75,18.35,185,4012.5,"MALE","Adelie","Adelie","MALE"
"1704","Torgersen",40.1,19.8,191.5,3825,"MALE","Adelie","Adelie","MALE"
"1705","Biscoe",39.45,17.65,193,4487.5,"MALE","Adelie","Adelie","MALE"
"1706","Torgersen",41.35,19.1,191.5,4412.5,"MALE","Adelie","Adelie","MALE"
"1707","Dream",39.65,19.95,190.5,3850,"MALE","Adelie","Adelie","MALE"
"1708","Dream",38.05,19.55,196,4250,"MALE","Adelie","Adelie","MALE"
"1709","Torgersen",39.8,19.25,191.5,4275,"MALE","Adelie","Adelie","MALE"
"1710","Biscoe",40.4,19.7,188,4537.5,"MALE","Adelie","Adelie","MALE"
"1711","Torgersen",40.9,20.1,194,3837.5,"MALE","Adelie","Adelie","MALE"
"1712","Dream",40.3,18.5,191.5,4450,"MALE","Adelie","Adelie","MALE"
"1713","Dream",41.45,20.55,184.5,4300,"MALE","Adelie","Adelie","MALE"
"1714","Dream",37.9,19.5,196.5,3900,"MALE","Adelie","Adelie","MALE"
"1715","Dream",41.7,19.7,196.5,4337.5,"MALE","Adelie","Adelie","MALE"
"1716","Torgersen",37.55,19.05,200.5,3762.5,"MALE","Adelie","Adelie","MALE"
"1717","Torgersen",39.7,18.55,190,4562.5,"MALE","Adelie","Adelie","MALE"
"1718","Dream",37.85,19.35,194,3975,"MALE","Adelie","Adelie","MALE"
"1719","Dream",39.15,20,190.5,4075,"MALE","Adelie","Adelie","MALE"
"1720","Torgersen",40.05,19.3,186,4200,"MALE","Adelie","Adelie","MALE"
"1721","Torgersen",40.5,18.85,190.5,3762.5,"MALE","Adelie","Adelie","MALE"
"1722","Biscoe",38.45,19.25,188,4300,"MALE","Adelie","Adelie","MALE"
"1723","Biscoe",40.65,18.65,184.5,4050,"MALE","Adelie","Adelie","MALE"
"1724","Dream",42.45,18.35,190,3837.5,"MALE","Adelie","Adelie","MALE"
"1725","Dream",36.9,20.15,184.5,4050,"MALE","Adelie","Adelie","MALE"
"1726","Dream",40.75,18.4,191.5,3675,"MALE","Adelie","Adelie","FEMALE"
"1727","Biscoe",42.25,19.8,191,3862.5,"MALE","Adelie","Adelie","MALE"
"1728","Torgersen",40.2,20.8,188,4000,"MALE","Adelie","Adelie","MALE"
"1729","Biscoe",40.85,18.65,192,4175,"MALE","Adelie","Adelie","MALE"
"1730","Dream",41,19.4,196,3950,"MALE","Adelie","Adelie","MALE"
"1731","Torgersen",44.4,19.15,195.5,4050,"MALE","Adelie","Adelie","MALE"
"1732","Dream",41.25,19.25,192.5,4050,"MALE","Adelie","Adelie","MALE"
"1733","Torgersen",39.6,19.65,194.5,4075,"MALE","Adelie","Adelie","MALE"
"1734","Biscoe",40.4,18.2,190,4475,"MALE","Adelie","Adelie","MALE"
"1735","Torgersen",41.05,19.85,192.5,3900,"MALE","Adelie","Adelie","MALE"
"1736","Torgersen",40.1,18.6,194,4062.5,"MALE","Adelie","Adelie","MALE"
"1737","Dream",40.05,18.9,183.5,4437.5,"MALE","Adelie","Adelie","MALE"
"1738","Dream",42.05,18.45,196.5,3975,"MALE","Adelie","Adelie","MALE"
"1739","Biscoe",41.75,19.6,184,4500,"MALE","Adelie","Adelie","MALE"
"1740","Dream",42.1,19.35,192,4300,"MALE","Adelie","Adelie","MALE"
"1741","Biscoe",39.4,18.15,193.5,3600,"MALE","Adelie","Adelie","FEMALE"
"1742","Torgersen",39.3,20.05,188,3975,"MALE","Adelie","Adelie","MALE"
"1743","Biscoe",43.45,18.65,192.5,3975,"MALE","Adelie","Adelie","MALE"
"1744","Dream",39.95,18.7,198.5,3650,"MALE","Adelie","Adelie","MALE"
"1745","Dream",39.9,19.15,194,4587.5,"MALE","Adelie","Adelie","MALE"
"1746","Dream",40.9,18.6,187.5,3950,"MALE","Adelie","Adelie","MALE"
"1747","Dream",40.15,19.8,186,3725,"MALE","Adelie","Adelie","MALE"
"1748","Dream",38.95,17.75,189,4100,"MALE","Adelie","Adelie","MALE"
"1749","Dream",40.95,20.05,192,3912.5,"MALE","Adelie","Adelie","MALE"
"1750","Torgersen",40.2,19.05,198.5,4362.5,"MALE","Adelie","Adelie","MALE"
"1751","Biscoe",40.05,20.35,191,3712.5,"MALE","Adelie","Adelie","MALE"
"1752","Torgersen",39.25,17.8,190,3825,"MALE","Adelie","Adelie","FEMALE"
"1753","Dream",41.55,19.8,196.5,3900,"MALE","Adelie","Adelie","MALE"
"1754","Dream",42.85,18.3,185,3850,"MALE","Adelie","Adelie","FEMALE"
"1755","Biscoe",38.7,19.25,194.5,3662.5,"MALE","Adelie","Adelie","MALE"
"1756","Torgersen",36.7,19.65,192.5,4000,"MALE","Adelie","Adelie","MALE"
"1757","Dream",43.1,18.3,185.5,4075,"MALE","Adelie","Adelie","MALE"
"1758","Dream",41.35,20.05,195.5,3875,"MALE","Adelie","Adelie","MALE"
"1759","Torgersen",41.3,20,196,3950,"MALE","Adelie","Adelie","MALE"
"1760","Torgersen",41.9,19.2,196.5,4175,"MALE","Adelie","Adelie","MALE"
"1761","Torgersen",40.95,19.15,189,4025,"MALE","Adelie","Adelie","MALE"
"1762","Dream",38.6,19.45,200,4050,"MALE","Adelie","Adelie","MALE"
"1763","Dream",40.5,20,195,4150,"MALE","Adelie","Adelie","MALE"
"1764","Dream",42.85,18.3,197.5,4225,"MALE","Adelie","Adelie","MALE"
"1765","Dream",41.6,19.45,187,4025,"MALE","Adelie","Adelie","MALE"
"1766","Dream",40.4,19.5,199.5,4275,"MALE","Adelie","Adelie","MALE"
"1767","Biscoe",42.45,19.1,196,3875,"MALE","Adelie","Adelie","MALE"
"1768","Biscoe",38.55,18.75,191.5,3700,"MALE","Adelie","Adelie","MALE"
"1769","Biscoe",38.95,19.2,190,3950,"MALE","Adelie","Adelie","MALE"
"1770","Biscoe",39.75,18.65,190,4275,"MALE","Adelie","Adelie","MALE"
"1771","Biscoe",39.35,19.15,195,3950,"MALE","Adelie","Adelie","MALE"
"1772","Biscoe",40.55,19.65,191,3750,"MALE","Adelie","Adelie","MALE"
"1773","Biscoe",40.35,18.15,193,3725,"MALE","Adelie","Adelie","FEMALE"
"1774","Dream",42.7,18.2,192,4237.5,"MALE","Adelie","Adelie","MALE"
"1775","Biscoe",41.75,18.75,192.5,3637.5,"MALE","Adelie","Adelie","MALE"
"1776","Dream",37.9,19,198,3750,"MALE","Adelie","Adelie","MALE"
"1777","Torgersen",43.2,18.95,188,3900,"MALE","Adelie","Adelie","MALE"
"1778","Dream",38.2,19.55,194,3850,"MALE","Adelie","Adelie","MALE"
"1779","Torgersen",40.85,19.55,187,3750,"MALE","Adelie","Adelie","MALE"
"1780","Dream",40.5,18,194,4075,"MALE","Adelie","Adelie","MALE"
"1781","Biscoe",42.6,19.8,194.5,4012.5,"MALE","Adelie","Adelie","MALE"
"1782","Biscoe",40.1,20.45,187.5,4600,"MALE","Adelie","Adelie","MALE"
"1783","Dream",40.45,18.05,202.5,4012.5,"MALE","Adelie","Adelie","MALE"
"1784","Torgersen",42.25,19.45,189.5,3875,"MALE","Adelie","Adelie","MALE"
"1785","Torgersen",40.15,18.2,188,4125,"MALE","Adelie","Adelie","MALE"
"1786","Torgersen",40.1,19.3,192.5,4112.5,"MALE","Adelie","Adelie","MALE"
"1787","Dream",41.4,18.95,195.5,3775,"MALE","Adelie","Adelie","MALE"
"1788","Biscoe",42.85,19.4,187,4100,"MALE","Adelie","Adelie","MALE"
"1789","Torgersen",40.85,19.2,195,3675,"MALE","Adelie","Adelie","MALE"
"1790","Biscoe",40.35,18.75,193.5,3875,"MALE","Adelie","Adelie","MALE"
"1791","Dream",41.05,20,198,4025,"MALE","Adelie","Adelie","MALE"
"1792","Biscoe",40.9,19.35,197,4125,"MALE","Adelie","Adelie","MALE"
"1793","Dream",41.1,18.5,195,3850,"MALE","Adelie","Adelie","MALE"
"1794","Torgersen",40,19.95,193.5,3925,"MALE","Adelie","Adelie","MALE"
"1795","Torgersen",39.65,19.6,198.5,4187.5,"MALE","Adelie","Adelie","MALE"
"1796","Torgersen",40.1,18.15,201,4162.5,"MALE","Adelie","Adelie","MALE"
"1797","Biscoe",40.95,17.95,195.5,3650,"MALE","Adelie","Adelie","FEMALE"
"1798","Biscoe",39.6,18.8,193,4275,"MALE","Adelie","Adelie","MALE"
"1799","Torgersen",37.7,18.7,197.5,3850,"MALE","Adelie","Adelie","MALE"
"1800","Dream",40.95,18.75,194.5,3775,"MALE","Adelie","Adelie","MALE"
"1801","Dream",41.2,18.75,187.5,4162.5,"MALE","Adelie","Adelie","MALE"
"1802","Torgersen",40.15,19.05,187,4275,"MALE","Adelie","Adelie","MALE"
"1803","Biscoe",42.4,19.85,183,4300,"MALE","Adelie","Adelie","MALE"
"1804","Biscoe",41.75,19.2,185.5,3875,"MALE","Adelie","Adelie","MALE"
"1805","Torgersen",38.5,18,188.5,4025,"MALE","Adelie","Adelie","MALE"
"1806","Biscoe",41.7,19.95,198,4300,"MALE","Adelie","Adelie","MALE"
"1807","Torgersen",37.75,18.5,194.5,3900,"MALE","Adelie","Adelie","MALE"
"1808","Biscoe",40.1,19.7,194,4425,"MALE","Adelie","Adelie","MALE"
"1809","Torgersen",40.7,20.75,192,4125,"MALE","Adelie","Adelie","MALE"
"1810","Biscoe",41.7,19.4,192,3675,"MALE","Adelie","Adelie","MALE"
"1811","Torgersen",39.25,18.75,196,4475,"MALE","Adelie","Adelie","MALE"
"1812","Torgersen",38.65,18.45,191,3975,"MALE","Adelie","Adelie","MALE"
"1813","Torgersen",42.75,19,182.5,4250,"MALE","Adelie","Adelie","MALE"
"1814","Biscoe",40.15,18.05,188.5,4250,"MALE","Adelie","Adelie","MALE"
"1815","Biscoe",42.15,18.35,196,4100,"MALE","Adelie","Adelie","MALE"
"1816","Biscoe",40.35,17.6,200,3950,"MALE","Adelie","Adelie","FEMALE"
"1817","Dream",43.35,18.35,193.5,4125,"MALE","Adelie","Adelie","MALE"
"1818","Biscoe",40.2,17.35,192,4025,"MALE","Adelie","Adelie","FEMALE"
"1819","Dream",41.45,18.5,190.5,4100,"MALE","Adelie","Adelie","MALE"
"1820","Biscoe",38.95,19.3,188.5,4200,"MALE","Adelie","Adelie","MALE"
"1821","Dream",41.1,18.05,186,3900,"MALE","Adelie","Adelie","FEMALE"
"1822","Biscoe",39.9,18.5,196.5,4112.5,"MALE","Adelie","Adelie","MALE"
"1823","Torgersen",41.65,20,190,3662.5,"MALE","Adelie","Adelie","MALE"
"1824","Biscoe",40.45,18.35,193,4262.5,"MALE","Adelie","Adelie","MALE"
"1825","Dream",39.7,20.9,189,4100,"MALE","Adelie","Adelie","MALE"
"1826","Dream",41.7,18.5,193,4100,"MALE","Adelie","Adelie","MALE"
"1827","Dream",40.75,18.55,193,3975,"MALE","Adelie","Adelie","MALE"
"1828","Biscoe",39.55,21.1,195.5,3775,"MALE","Adelie","Adelie","MALE"
"1829","Dream",44.15,18.8,192,4275,"MALE","Adelie","Adelie","MALE"
"1830","Biscoe",42.15,18.7,196.5,3725,"MALE","Adelie","Adelie","MALE"
"1831","Dream",38,19.75,188,3900,"MALE","Adelie","Adelie","MALE"
"1832","Dream",41.5,20,202,4162.5,"MALE","Adelie","Adelie","MALE"
"1833","Torgersen",42.6,19.3,186.5,4075,"MALE","Adelie","Adelie","MALE"
"1834","Dream",41.25,18.7,199,4650,"MALE","Adelie","Adelie","MALE"
"1835","Torgersen",41.8,19.2,199,3875,"MALE","Adelie","Adelie","MALE"
"1836","Dream",38.2,18.7,190.5,3537.5,"MALE","Adelie","Adelie","FEMALE"
"1837","Dream",41.95,17.65,192.5,3612.5,"MALE","Adelie","Adelie","FEMALE"
"1838","Biscoe",37.95,18.45,196.5,4137.5,"MALE","Adelie","Adelie","MALE"
"1839","Biscoe",44.5,18.9,187.5,4225,"MALE","Adelie","Adelie","MALE"
"1840","Biscoe",40.3,19.75,196,4100,"MALE","Adelie","Adelie","MALE"
"1841","Torgersen",40.65,17.9,197.5,4225,"MALE","Adelie","Adelie","MALE"
"1842","Dream",38,19.3,193.5,4050,"MALE","Adelie","Adelie","MALE"
"1843","Dream",39.85,19.6,200.5,3862.5,"MALE","Adelie","Adelie","MALE"
"1844","Biscoe",39.7,20.1,196.5,4087.5,"MALE","Adelie","Adelie","MALE"
"1845","Biscoe",40.05,19.35,198,4050,"MALE","Adelie","Adelie","MALE"
"1846","Dream",35.1,19.6,196,3850,"MALE","Adelie","Adelie","MALE"
"1847","Torgersen",38.25,20,193.5,4425,"MALE","Adelie","Adelie","MALE"
"1848","Torgersen",38.9,19.6,184,4037.5,"MALE","Adelie","Adelie","MALE"
"1849","Torgersen",40.4,19.2,188.5,4025,"MALE","Adelie","Adelie","MALE"
"1850","Dream",41.45,18.5,185.5,4362.5,"MALE","Adelie","Adelie","MALE"
"1851","Dream",38.1,19.15,195,3412.5,"MALE","Adelie","Adelie","MALE"
"1852","Biscoe",39.45,18.05,195,4112.5,"MALE","Adelie","Adelie","MALE"
"1853","Torgersen",41.45,19.55,192,3775,"MALE","Adelie","Adelie","MALE"
"1854","Biscoe",40.85,19.75,187.5,3962.5,"MALE","Adelie","Adelie","MALE"
"1855","Torgersen",40.1,19.6,199.5,3875,"MALE","Adelie","Adelie","MALE"
"1856","Dream",43.9,19.55,188,4175,"MALE","Adelie","Adelie","MALE"
"1857","Dream",43.45,17.85,196.5,3850,"MALE","Adelie","Adelie","FEMALE"
"1858","Dream",42.3,19.25,194.5,3837.5,"MALE","Adelie","Adelie","MALE"
"1859","Dream",40.2,19.35,192.5,4200,"MALE","Adelie","Adelie","MALE"
"1860","Biscoe",39.45,18.7,192.5,3712.5,"MALE","Adelie","Adelie","MALE"
"1861","Dream",39.55,19.6,192.5,4225,"MALE","Adelie","Adelie","MALE"
"1862","Biscoe",41,19.2,183.5,3950,"MALE","Adelie","Adelie","MALE"
"1863","Dream",43.75,19.05,190.5,4687.5,"MALE","Adelie","Adelie","MALE"
"1864","Dream",37.2,19,194.5,3750,"MALE","Adelie","Adelie","MALE"
"1865","Biscoe",40,18.65,196,3950,"MALE","Adelie","Adelie","MALE"
"1866","Torgersen",39.4,19.25,194,3950,"MALE","Adelie","Adelie","MALE"
"1867","Dream",39.5,18.65,195,3887.5,"MALE","Adelie","Adelie","MALE"
"1868","Biscoe",40.2,19.25,193.5,3662.5,"MALE","Adelie","Adelie","MALE"
"1869","Torgersen",40.45,18.35,190.5,3662.5,"MALE","Adelie","Adelie","FEMALE"
"1870","Torgersen",41.4,18.8,190,4300,"MALE","Adelie","Adelie","MALE"
"1871","Torgersen",39.9,18.35,194,3625,"MALE","Adelie","Adelie","FEMALE"
"1872","Biscoe",41.55,19.1,194,3950,"MALE","Adelie","Adelie","MALE"
"1873","Dream",37.95,18.5,194,4612.5,"MALE","Adelie","Adelie","MALE"
"1874","Biscoe",40.8,19.6,190.5,3825,"MALE","Adelie","Adelie","MALE"
"1875","Dream",41.6,18.2,186.5,4400,"MALE","Adelie","Adelie","MALE"
"1876","Dream",41.7,18.6,189,4050,"MALE","Adelie","Adelie","MALE"
"1877","Dream",38.25,19.75,195,4500,"MALE","Adelie","Adelie","MALE"
"1878","Torgersen",39.25,19,194.5,3700,"MALE","Adelie","Adelie","MALE"
"1879","Dream",42.15,19.8,192,4400,"MALE","Adelie","Adelie","MALE"
"1880","Biscoe",39.7,19.15,200,4300,"MALE","Adelie","Adelie","MALE"
"1881","Biscoe",42.3,18.6,185.5,4150,"MALE","Adelie","Adelie","MALE"
"1882","Biscoe",38.2,19.15,203,3650,"MALE","Adelie","Adelie","MALE"
"1883","Torgersen",41.9,19.8,190.5,4350,"MALE","Adelie","Adelie","MALE"
"1884","Biscoe",38.2,18.35,195.5,3850,"MALE","Adelie","Adelie","MALE"
"1885","Torgersen",39.9,20.9,193.5,3937.5,"MALE","Adelie","Adelie","MALE"
"1886","Biscoe",41.1,19.3,194.5,4150,"MALE","Adelie","Adelie","MALE"
"1887","Torgersen",41.25,19.1,200,3825,"MALE","Adelie","Adelie","MALE"
"1888","Torgersen",41.4,20.15,193,4025,"MALE","Adelie","Adelie","MALE"
"1889","Torgersen",39.8,19.15,199,4325,"MALE","Adelie","Adelie","MALE"
"1890","Dream",42.15,19.6,193,3950,"MALE","Adelie","Adelie","MALE"
"1891","Biscoe",41.95,19.55,194.5,4150,"MALE","Adelie","Adelie","MALE"
"1892","Dream",40.3,19.5,188,4350,"MALE","Adelie","Adelie","MALE"
"1893","Dream",40.4,18.3,192.5,3850,"MALE","Adelie","Adelie","MALE"
"1894","Dream",41.7,19.8,186.5,4575,"MALE","Adelie","Adelie","MALE"
"1895","Biscoe",39.2,19.15,187,4275,"MALE","Adelie","Adelie","MALE"
"1896","Dream",41.6,18.7,188,4537.5,"MALE","Adelie","Adelie","MALE"
"1897","Biscoe",40.4,18.35,197,3537.5,"MALE","Adelie","Adelie","FEMALE"
"1898","Dream",41.55,18.75,182.5,3712.5,"MALE","Adelie","Adelie","MALE"
"1899","Dream",37.65,20.6,187,4100,"MALE","Adelie","Adelie","MALE"
"1900","Torgersen",41.05,18.3,185,4025,"MALE","Adelie","Adelie","MALE"
"1901","Dream",41.9,19.4,187,4300,"MALE","Adelie","Adelie","MALE"
"1902","Torgersen",41.45,18.35,190,3600,"MALE","Adelie","Adelie","FEMALE"
"1903","Biscoe",43.6,19,193.5,3837.5,"MALE","Adelie","Adelie","MALE"
"1904","Biscoe",40.15,18.95,200,4187.5,"MALE","Adelie","Adelie","MALE"
"1905","Biscoe",38.3,18.7,192,3950,"MALE","Adelie","Adelie","MALE"
"1906","Biscoe",38.55,18.55,185.5,3762.5,"MALE","Adelie","Adelie","MALE"
"1907","Dream",40.8,18.3,195,4037.5,"MALE","Adelie","Adelie","MALE"
"1908","Biscoe",42.65,19.3,184.5,4362.5,"MALE","Adelie","Adelie","MALE"
"1909","Dream",39.45,18.45,187,3762.5,"MALE","Adelie","Adelie","MALE"
"1910","Biscoe",38.55,17.55,190,4087.5,"MALE","Adelie","Adelie","FEMALE"
"1911","Dream",41.1,18.8,196,3925,"MALE","Adelie","Adelie","MALE"
"1912","Torgersen",45.9,18.25,195.5,3887.5,"MALE","Adelie","Chinstrap","MALE"
"1913","Biscoe",40.85,18.4,191.5,4200,"MALE","Adelie","Adelie","MALE"
"1914","Torgersen",41.55,19.35,192.5,4175,"MALE","Adelie","Adelie","MALE"
"1915","Dream",42,19.15,196.5,4175,"MALE","Adelie","Adelie","MALE"
"1916","Biscoe",42.6,19.4,191,4200,"MALE","Adelie","Adelie","MALE"
"1917","Torgersen",40.1,18.8,195,4350,"MALE","Adelie","Adelie","MALE"
"1918","Dream",40,18.95,198,3562.5,"MALE","Adelie","Adelie","MALE"
"1919","Dream",41.3,18.5,190.5,4337.5,"MALE","Adelie","Adelie","MALE"
"1920","Torgersen",42.2,19,190,3950,"MALE","Adelie","Adelie","MALE"
"1921","Dream",39.85,18.45,189,4062.5,"MALE","Adelie","Adelie","MALE"
"1922","Dream",40.3,19.05,192,4175,"MALE","Adelie","Adelie","MALE"
"1923","Torgersen",40.1,20.2,184.5,4475,"MALE","Adelie","Adelie","MALE"
